ID,WAGE,Annual Income,OCCUPATION,SECTOR,UNION,EDUCATION,EXPERIENCE,AGE,SEX,MARR,RACE,SOUTH,
23,3.75,"7,800.00",6,0,0,12,9,27,0,0,3,0,
24,4.50,"9,360.00",6,0,0,11,14,31,0,1,1,1,
25,9.56,"19,884.80",6,0,0,12,23,41,0,1,3,0,
26,5.75,"11,960.00",6,1,0,6,45,57,0,1,3,1,
27,9.36,"19,468.80",6,1,0,12,8,26,0,1,3,0,
28,6.50,"13,520.00",6,0,0,10,30,46,0,1,3,0,
29,3.35,"6,968.00",6,1,0,12,8,26,1,1,3,0,
30,4.75,"9,880.00",6,0,0,12,8,26,0,1,3,0,
31,8.90,"18,512.00",6,0,0,14,13,33,0,0,3,0,
32,4.00,"8,320.00",6,0,0,12,46,64,1,0,3,1,
33,4.70,"9,776.00",6,0,0,8,19,33,0,1,3,0,
34,5.00,"10,400.00",6,0,0,17,1,24,1,0,3,1,
35,9.25,"19,240.00",6,1,0,12,19,37,0,0,3,0,
36,10.67,"22,193.60",6,0,0,12,36,54,0,0,1,0,
37,7.61,"15,828.80",6,2,0,12,20,38,0,1,1,1,
38,10.00,"20,800.00",6,2,1,12,35,53,0,1,1,0,
39,7.50,"15,600.00",6,0,0,12,3,21,0,0,3,0,
40,12.20,"25,376.00",6,1,0,14,10,30,0,1,3,1,
41,3.35,"6,968.00",6,0,0,12,0,18,0,0,3,0,
42,11.00,"22,880.00",6,1,1,14,14,34,0,1,3,1,
43,12.00,"24,960.00",6,1,0,12,14,32,0,1,3,0,
44,4.85,"10,088.00",6,1,0,9,16,31,1,1,3,0,
45,4.30,"8,944.00",6,2,0,13,8,27,0,0,3,1,
46,6.00,"12,480.00",6,1,0,7,15,28,1,1,3,1,
47,15.00,"31,200.00",6,1,0,16,12,34,0,1,3,0,
48,4.85,"10,088.00",6,0,0,10,13,29,0,0,3,1,
49,9.00,"18,720.00",6,0,1,8,33,47,0,1,3,0,
50,6.36,"13,228.80",6,1,0,12,9,27,0,1,3,0,
51,9.15,"19,032.00",6,0,0,12,7,25,0,1,3,0,
52,11.00,"22,880.00",6,1,1,16,13,35,0,1,3,0,
53,4.50,"9,360.00",6,1,0,12,7,25,1,1,3,0,
54,4.80,"9,984.00",6,1,0,12,16,34,1,1,3,0,
55,4.00,"8,320.00",6,0,0,13,0,19,0,0,3,0,
56,5.50,"11,440.00",6,1,0,12,11,29,1,0,3,0,
57,8.40,"17,472.00",6,1,0,13,17,36,0,0,3,0,
58,6.75,"14,040.00",6,1,0,10,13,29,0,1,3,0,
59,10.00,"20,800.00",6,1,1,12,22,40,0,0,1,0,
60,5.00,"10,400.00",6,1,0,12,28,46,1,1,3,0,
61,6.50,"13,520.00",6,0,0,11,17,34,0,0,3,0,
62,10.75,"22,360.00",6,2,1,12,24,42,0,1,3,0,
63,7.00,"14,560.00",6,1,0,3,55,64,0,1,2,1,
64,11.43,"23,774.40",6,2,0,12,3,21,0,0,3,1,
65,4.00,"8,320.00",6,1,1,12,6,24,0,0,1,0,
66,9.00,"18,720.00",6,2,0,10,27,43,0,1,3,0,
67,13.00,"27,040.00",6,1,1,12,19,37,0,1,1,1,
68,12.22,"25,417.60",6,2,1,12,19,37,0,1,3,0,
69,6.28,"13,062.40",6,1,0,12,38,56,1,1,3,0,
70,6.75,"14,040.00",6,1,1,10,41,57,0,1,1,1,
71,3.35,"6,968.00",6,1,0,11,3,20,0,0,1,1,
72,16.00,"33,280.00",6,0,1,14,20,40,0,1,3,0,
73,5.25,"10,920.00",6,0,0,10,15,31,0,1,3,0,
74,3.50,"7,280.00",6,1,0,8,8,22,0,1,2,1,
75,4.22,"8,777.60",6,1,0,8,39,53,1,1,3,1,
76,3.00,"6,240.00",6,1,1,6,43,55,1,1,2,0,
77,4.00,"8,320.00",6,1,1,11,25,42,1,1,3,1,
78,10.00,"20,800.00",6,0,1,12,11,29,0,1,3,0,
79,5.00,"10,400.00",6,0,0,12,12,30,0,1,1,0,
80,16.00,"33,280.00",6,1,1,12,35,53,0,1,3,1,
81,13.98,"29,078.40",6,0,0,14,14,34,0,0,3,0,
82,13.26,"27,580.80",6,0,1,12,16,34,0,1,3,0,
83,6.10,"12,688.00",6,1,1,10,44,60,1,0,3,0,
84,3.75,"7,800.00",6,0,0,16,13,35,1,0,3,1,
85,9.00,"18,720.00",6,1,1,13,8,27,0,0,1,0,
86,9.45,"19,656.00",6,1,0,12,13,31,0,0,3,0,
87,5.50,"11,440.00",6,0,1,11,18,35,0,1,3,0,
88,8.93,"18,574.40",6,0,0,12,18,36,1,1,3,0,
89,6.25,"13,000.00",6,0,0,12,6,24,1,0,3,1,
90,9.75,"20,280.00",6,1,1,11,37,54,0,1,3,1,
91,6.73,"13,998.40",6,1,0,12,2,20,0,1,3,1,
92,7.78,"16,182.40",6,1,0,12,23,41,0,1,3,0,
93,2.85,"5,928.00",6,0,0,12,1,19,0,0,3,0,
94,3.35,"6,968.00",6,1,0,12,10,28,1,1,1,1,
95,19.98,"41,558.40",6,1,0,12,23,41,0,1,3,0,
96,8.50,"17,680.00",6,0,1,12,8,26,0,1,1,0,
97,9.75,"20,280.00",6,1,0,15,9,30,1,1,3,0,
98,15.00,"31,200.00",6,2,1,12,33,51,0,1,3,0,
99,8.00,"16,640.00",6,1,0,12,19,37,1,1,3,0,
100,11.25,"23,400.00",6,0,0,13,14,33,0,1,3,0,
101,14.00,"29,120.00",6,0,1,11,13,30,0,1,3,0,
102,10.00,"20,800.00",6,2,0,10,12,28,0,1,3,0,
103,6.50,"13,520.00",6,0,0,12,8,26,0,0,3,0,
104,9.83,"20,446.40",6,1,0,12,23,41,0,1,3,0,
105,18.50,"38,480.00",6,1,0,14,13,33,1,0,3,0,
106,12.50,"26,000.00",6,0,0,12,9,27,0,1,3,1,
107,26.00,"54,080.00",6,0,1,14,21,41,0,1,3,0,
108,14.00,"29,120.00",6,2,0,5,44,55,0,1,3,1,
109,10.50,"21,840.00",6,0,1,12,4,22,0,1,3,0,
110,11.00,"22,880.00",6,1,0,8,42,56,0,1,3,0,
111,12.47,"25,937.60",6,0,1,13,10,29,0,1,3,0,
112,12.50,"26,000.00",6,2,0,12,11,29,0,0,3,0,
113,15.00,"31,200.00",6,2,1,12,40,58,0,1,3,0,
114,6.00,"12,480.00",6,2,0,12,8,26,0,0,3,0,
115,9.50,"19,760.00",6,2,0,11,29,46,0,1,3,1,
116,5.00,"10,400.00",6,0,1,16,3,25,0,0,3,0,
117,3.75,"7,800.00",6,2,0,11,11,28,0,0,3,0,
118,12.57,"26,145.60",6,0,1,12,12,30,0,1,3,0,
119,6.88,"14,310.40",6,0,0,8,22,36,1,1,2,0,
120,5.50,"11,440.00",6,0,0,12,12,30,0,1,3,0,
121,7.00,"14,560.00",6,0,1,12,7,25,0,1,3,0,
122,4.50,"9,360.00",6,1,0,12,15,33,1,0,3,0,
123,6.50,"13,520.00",6,0,0,12,28,46,0,1,3,0,
124,12.00,"24,960.00",6,1,1,12,20,38,0,1,3,1,
125,5.00,"10,400.00",6,2,0,12,6,24,0,0,3,1,
126,6.50,"13,520.00",6,1,0,12,5,23,0,0,3,1,
127,6.80,"14,144.00",6,1,0,9,30,45,1,1,3,1,
128,8.75,"18,200.00",6,0,0,13,18,37,0,1,3,0,
129,3.75,"7,800.00",6,1,0,12,6,24,1,1,1,1,
130,4.50,"9,360.00",6,0,0,12,16,34,0,0,2,1,
131,6.00,"12,480.00",6,0,1,12,1,19,0,0,2,1,
132,5.50,"11,440.00",6,1,0,12,3,21,0,0,3,0,
133,13.00,"27,040.00",6,0,0,12,8,26,0,1,3,0,
134,5.65,"11,752.00",6,1,0,14,2,22,0,0,3,0,
135,4.80,"9,984.00",6,1,0,9,16,31,0,0,1,0,
136,7.00,"14,560.00",6,2,0,10,9,25,0,1,3,1,
137,5.25,"10,920.00",6,0,0,12,2,20,0,0,3,0,
138,3.35,"6,968.00",6,1,0,7,43,56,0,1,3,1,
139,8.50,"17,680.00",6,1,0,9,38,53,0,1,3,0,
140,6.00,"12,480.00",6,0,0,12,9,27,0,1,3,0,
141,6.75,"14,040.00",6,0,0,12,12,30,0,1,3,1,
142,8.89,"18,491.20",6,1,0,12,18,36,0,1,3,0,
143,14.21,"29,556.80",6,1,1,11,15,32,0,0,3,0,
144,10.78,"22,422.40",6,2,1,11,28,45,0,1,1,1,
145,8.90,"18,512.00",6,2,1,10,27,43,0,1,3,1,
146,7.50,"15,600.00",6,0,0,12,38,56,0,1,3,1,
147,4.50,"9,360.00",6,1,0,12,3,21,1,0,3,0,
148,11.25,"23,400.00",6,0,1,12,41,59,0,1,3,0,
149,13.45,"27,976.00",6,0,1,12,16,34,0,1,3,1,
150,6.00,"12,480.00",6,1,0,13,7,26,0,1,3,1,
151,4.62,"9,609.60",6,1,0,6,33,45,1,0,1,1,
152,10.58,"22,006.40",6,1,0,14,25,45,0,1,3,0,
153,5.00,"10,400.00",6,0,0,12,5,23,0,1,3,1,
154,8.20,"17,056.00",6,0,0,14,17,37,0,0,1,1,
155,6.25,"13,000.00",6,0,0,12,1,19,0,0,3,1,
156,8.50,"17,680.00",6,1,0,12,13,31,0,1,3,0,
157,24.98,"51,958.40",1,0,0,16,18,40,0,1,3,0,
158,16.65,"34,632.00",1,0,0,14,21,41,0,1,3,1,
159,6.25,"13,000.00",1,0,0,14,2,22,0,0,3,0,
160,4.55,"9,464.00",1,0,0,12,4,22,1,0,2,1,
161,11.25,"23,400.00",1,0,0,12,30,48,1,1,2,1,
162,21.25,"44,200.00",1,0,0,13,32,51,0,0,3,0,
163,12.65,"26,312.00",1,0,0,17,13,36,1,1,3,0,
164,7.50,"15,600.00",1,0,0,12,17,35,0,0,3,0,
165,10.25,"21,320.00",1,0,0,14,26,46,1,1,3,0,
166,3.35,"6,968.00",1,0,0,16,9,31,0,0,3,0,
167,13.45,"27,976.00",1,0,0,16,8,30,0,0,1,0,
168,4.84,"10,067.20",1,0,1,15,1,22,0,1,3,0,
169,26.29,"54,683.20",1,0,0,17,32,55,0,1,3,1,
170,6.58,"13,686.40",1,0,0,12,24,42,1,1,3,0,
171,44.50,"92,560.00",1,0,0,14,1,21,1,0,3,0,
172,15.00,"31,200.00",1,1,0,12,42,60,0,1,3,0,
173,11.25,"23,400.00",1,1,0,16,3,25,1,0,1,0,
174,7.00,"14,560.00",1,0,0,12,32,50,1,1,3,0,
175,10.00,"20,800.00",1,0,0,14,22,42,0,0,1,0,
176,14.53,"30,222.40",1,0,0,16,18,40,0,1,3,0,
177,20.00,"41,600.00",1,0,0,18,19,43,1,1,3,0,
178,22.50,"46,800.00",1,0,0,15,12,33,0,1,3,0,
179,3.64,"7,571.20",1,0,0,12,42,60,1,1,3,0,
180,10.62,"22,089.60",1,0,0,12,34,52,0,1,3,1,
181,24.98,"51,958.40",1,0,0,18,29,53,0,1,3,0,
182,6.00,"12,480.00",1,0,0,16,8,30,0,0,3,1,
183,19.00,"39,520.00",1,1,0,18,13,37,0,0,3,0,
184,13.20,"27,456.00",1,0,0,16,10,32,0,0,3,0,
185,22.50,"46,800.00",1,0,0,16,22,44,0,1,3,0,
186,15.00,"31,200.00",1,0,0,16,10,32,0,1,3,1,
187,6.88,"14,310.40",1,0,0,17,15,38,1,1,3,0,
188,11.84,"24,627.20",1,0,0,12,26,44,0,1,3,0,
189,16.14,"33,571.20",1,0,0,14,16,36,0,0,3,0,
190,13.95,"29,016.00",1,0,0,18,14,38,1,1,3,0,
191,13.16,"27,372.80",1,0,0,12,38,56,1,1,3,0,
192,5.30,"11,024.00",1,0,0,12,14,32,0,1,1,1,
193,4.50,"9,360.00",1,0,0,12,7,25,1,1,3,0,
194,10.00,"20,800.00",1,0,0,18,13,37,1,0,3,1,
195,10.00,"20,800.00",1,0,0,10,20,36,0,1,3,0,
196,10.00,"20,800.00",1,0,1,16,7,29,0,1,2,0,
197,9.37,"19,489.60",1,0,0,16,26,48,1,1,3,0,
198,5.80,"12,064.00",1,0,0,16,14,36,0,1,3,0,
199,17.86,"37,148.80",1,0,0,13,36,55,0,0,3,0,
200,1.00,"2,080.00",1,0,0,12,24,42,0,1,3,0,
201,8.80,"18,304.00",1,0,0,14,41,61,0,1,3,1,
202,9.00,"18,720.00",1,0,0,16,7,29,0,1,1,0,
203,18.16,"37,772.80",1,0,0,17,14,37,0,0,3,1,
204,7.81,"16,244.80",1,0,0,12,1,19,1,0,3,1,
205,10.62,"22,089.60",1,1,0,16,6,28,1,1,3,0,
206,4.50,"9,360.00",1,0,0,12,3,21,1,1,3,0,
207,17.25,"35,880.00",1,0,0,15,31,52,0,1,3,0,
208,10.50,"21,840.00",1,1,0,13,14,33,1,1,3,0,
209,9.22,"19,177.60",1,0,0,14,13,33,1,1,3,0,
210,15.00,"31,200.00",1,1,1,16,26,48,0,1,1,0,
211,22.50,"46,800.00",1,0,0,18,14,38,0,1,3,0,
212,4.55,"9,464.00",2,0,0,13,33,52,1,1,3,0,
213,9.00,"18,720.00",2,0,0,12,16,34,0,1,3,0,
214,13.33,"27,726.40",2,0,0,18,10,34,0,1,3,0,
215,15.00,"31,200.00",2,0,0,14,22,42,0,0,3,0,
216,7.50,"15,600.00",2,0,0,14,2,22,0,0,3,0,
217,4.25,"8,840.00",2,0,0,12,29,47,1,1,3,1,
218,12.50,"26,000.00",2,1,0,12,43,61,0,1,3,0,
219,5.13,"10,670.40",2,0,0,12,5,23,1,1,3,0,
220,3.35,"6,968.00",2,0,0,16,14,36,1,1,1,1,
221,11.11,"23,108.80",2,0,0,12,28,46,0,1,3,1,
222,3.84,"7,987.20",2,0,0,11,25,42,1,1,1,1,
223,6.40,"13,312.00",2,0,0,12,45,63,1,1,3,0,
224,5.56,"11,564.80",2,0,0,14,5,25,0,0,3,1,
225,10.00,"20,800.00",2,1,0,12,20,38,0,1,3,1,
226,5.65,"11,752.00",2,0,0,16,6,28,1,1,3,0,
227,11.50,"23,920.00",2,0,0,16,16,38,0,1,3,0,
228,3.50,"7,280.00",2,0,0,11,33,50,1,1,3,0,
229,3.35,"6,968.00",2,0,0,13,2,21,1,1,3,1,
230,4.75,"9,880.00",2,0,0,12,10,28,1,0,3,1,
231,19.98,"41,558.40",2,0,0,14,44,64,0,1,3,1,
232,3.50,"7,280.00",2,0,0,14,6,26,1,1,3,1,
233,4.00,"8,320.00",2,0,0,12,15,33,1,0,3,0,
234,7.00,"14,560.00",2,0,0,12,5,23,0,1,3,0,
235,6.25,"13,000.00",2,1,0,13,4,23,1,1,3,0,
236,4.50,"9,360.00",2,0,0,14,14,34,0,1,3,0,
237,14.29,"29,723.20",2,0,0,14,32,52,1,1,3,0,
238,5.00,"10,400.00",2,0,0,12,14,32,1,1,3,0,
239,13.75,"28,600.00",2,0,0,14,21,41,0,1,3,0,
240,13.71,"28,516.80",2,0,1,12,43,61,0,1,3,0,
241,7.50,"15,600.00",2,0,0,12,27,45,1,1,1,1,
242,3.80,"7,904.00",2,0,0,12,4,22,1,0,3,0,
243,5.00,"10,400.00",2,0,0,14,0,20,0,0,2,0,
244,9.42,"19,593.60",2,0,0,12,32,50,0,1,3,1,
245,5.50,"11,440.00",2,0,0,12,20,38,0,1,3,0,
246,3.75,"7,800.00",2,0,0,15,4,25,0,0,3,1,
247,3.50,"7,280.00",2,0,0,12,34,52,0,1,3,0,
248,5.80,"12,064.00",2,0,0,13,5,24,0,0,3,0,
249,12.00,"24,960.00",2,1,0,17,13,36,0,1,3,0,
250,5.00,"10,400.00",3,0,0,14,17,37,1,1,2,0,
251,8.75,"18,200.00",3,0,0,13,10,29,1,1,3,1,
252,10.00,"20,800.00",3,0,0,16,7,29,1,1,3,0,
253,8.50,"17,680.00",3,0,0,12,25,43,1,0,3,0,
254,8.63,"17,950.40",3,0,0,12,18,36,1,1,1,0,
255,9.00,"18,720.00",3,1,0,16,27,49,1,1,3,0,
256,5.50,"11,440.00",3,0,0,16,2,24,1,0,3,0,
257,11.11,"23,108.80",3,0,0,13,13,32,0,1,3,0,
258,10.00,"20,800.00",3,0,0,14,24,44,1,0,3,0,
259,5.20,"10,816.00",3,0,0,18,13,37,1,1,2,1,
260,8.00,"16,640.00",3,0,1,14,15,35,1,0,3,0,
261,3.56,"7,404.80",3,0,0,12,12,30,1,0,2,1,
262,5.20,"10,816.00",3,0,0,12,24,42,1,1,3,0,
263,11.67,"24,273.60",3,2,0,12,43,61,1,1,3,0,
264,11.32,"23,545.60",3,1,0,12,13,31,1,1,3,0,
265,7.50,"15,600.00",3,0,0,12,16,34,1,1,3,1,
266,5.50,"11,440.00",3,0,0,11,24,41,1,1,3,0,
267,5.00,"10,400.00",3,0,0,16,4,26,1,1,3,1,
268,7.75,"16,120.00",3,0,0,12,24,42,1,1,3,0,
269,5.25,"10,920.00",3,0,0,12,45,63,1,1,3,0,
270,9.00,"18,720.00",3,0,1,12,20,38,0,1,3,0,
271,9.65,"20,072.00",3,0,0,12,38,56,1,1,3,0,
272,5.21,"10,836.80",3,0,0,18,10,34,0,1,3,1,
273,7.00,"14,560.00",3,0,0,11,16,33,1,1,1,0,
274,12.16,"25,292.80",3,0,0,12,32,50,1,1,1,1,
275,5.25,"10,920.00",3,0,0,16,2,24,1,0,3,1,
276,10.32,"21,465.60",3,0,0,13,28,47,1,0,3,1,
277,3.35,"6,968.00",3,0,0,16,3,25,0,0,1,0,
278,7.70,"16,016.00",3,0,1,13,8,27,1,0,3,0,
279,9.17,"19,073.60",3,1,0,12,44,62,1,1,3,0,
280,8.43,"17,534.40",3,0,0,12,12,30,0,1,3,1,
281,4.00,"8,320.00",3,0,0,12,8,26,0,1,1,1,
282,4.13,"8,590.40",3,0,0,12,4,22,1,1,3,0,
283,3.00,"6,240.00",3,0,0,12,28,46,1,1,3,1,
284,4.25,"8,840.00",3,0,0,13,0,19,1,0,3,1,
285,7.53,"15,662.40",3,0,0,14,1,21,0,0,3,1,
286,10.53,"21,902.40",3,1,0,14,12,32,1,1,3,0,
287,5.00,"10,400.00",3,0,0,12,39,57,1,1,3,0,
288,15.03,"31,262.40",3,0,0,12,24,42,1,1,3,0,
289,11.25,"23,400.00",3,0,0,17,32,55,1,1,1,0,
290,6.25,"13,000.00",3,0,0,16,4,26,0,0,1,0,
291,3.50,"7,280.00",3,0,0,12,25,43,1,0,1,0,
292,6.85,"14,248.00",3,0,0,12,8,26,0,0,1,0,
293,12.50,"26,000.00",3,0,0,13,16,35,1,1,3,0,
294,12.00,"24,960.00",3,0,0,12,5,23,0,0,3,1,
295,6.00,"12,480.00",3,0,0,13,31,50,0,0,3,0,
296,9.50,"19,760.00",3,0,0,12,25,43,1,0,3,0,
297,4.10,"8,528.00",3,0,0,12,15,33,1,1,3,0,
298,10.43,"21,694.40",3,0,0,14,15,35,1,1,3,1,
299,5.00,"10,400.00",3,0,0,12,0,18,1,0,3,0,
300,7.69,"15,995.20",3,0,0,12,19,37,0,1,3,0,
301,5.50,"11,440.00",3,0,0,12,21,39,1,0,1,0,
302,6.40,"13,312.00",3,0,0,12,6,24,1,0,3,0,
303,12.50,"26,000.00",3,0,1,12,14,32,1,1,3,0,
304,6.25,"13,000.00",3,0,0,13,30,49,1,1,3,0,
305,8.00,"16,640.00",3,0,0,12,8,26,1,0,3,0,
306,9.60,"19,968.00",3,0,1,9,33,48,0,0,3,0,
307,9.10,"18,928.00",3,0,0,13,16,35,0,0,2,0,
308,7.50,"15,600.00",3,0,0,12,20,38,1,0,3,1,
309,5.00,"10,400.00",3,0,0,13,6,25,1,1,3,1,
310,7.00,"14,560.00",3,0,1,12,10,28,1,1,3,0,
311,3.55,"7,384.00",3,0,0,13,1,20,1,0,3,1,
312,8.50,"17,680.00",3,0,0,12,2,20,0,0,1,1,
313,4.50,"9,360.00",3,0,0,13,0,19,1,0,3,1,
314,7.88,"16,390.40",3,0,0,16,17,39,0,1,1,0,
315,5.25,"10,920.00",3,0,0,12,8,26,1,0,3,0,
316,5.00,"10,400.00",3,0,0,12,4,22,0,0,3,1,
317,9.33,"19,406.40",3,0,0,12,15,33,1,0,3,0,
318,10.50,"21,840.00",3,0,0,12,29,47,1,1,3,0,
319,7.50,"15,600.00",3,0,0,12,23,41,1,1,1,1,
320,9.50,"19,760.00",3,0,0,12,39,57,1,1,3,1,
321,9.60,"19,968.00",3,0,0,12,14,32,1,1,3,1,
322,5.87,"12,209.60",3,0,0,17,6,29,1,0,1,1,
323,11.02,"22,921.60",3,0,1,14,12,32,0,1,3,1,
324,5.00,"10,400.00",3,0,0,12,26,44,1,0,3,1,
325,5.62,"11,689.60",3,0,0,14,32,52,1,1,3,0,
326,12.50,"26,000.00",3,0,0,15,6,27,1,1,3,0,
327,10.81,"22,484.80",3,0,0,12,40,58,1,1,3,0,
328,5.40,"11,232.00",3,1,0,12,18,36,1,1,3,0,
329,7.00,"14,560.00",3,0,0,11,12,29,1,0,3,0,
330,4.59,"9,547.20",3,2,0,12,36,54,1,1,3,1,
331,6.00,"12,480.00",3,0,0,12,19,37,1,1,3,0,
332,11.71,"24,356.80",3,1,0,16,42,64,1,0,3,0,
333,5.62,"11,689.60",3,0,0,13,2,21,1,1,2,0,
334,5.50,"11,440.00",3,0,0,12,33,51,1,1,3,0,
335,4.85,"10,088.00",3,0,0,12,14,32,1,1,3,1,
336,6.75,"14,040.00",3,0,0,12,22,40,0,0,3,0,
337,4.25,"8,840.00",3,0,0,12,20,38,1,1,3,0,
338,5.75,"11,960.00",3,0,0,12,15,33,1,1,3,0,
339,3.50,"7,280.00",3,0,0,12,35,53,0,1,3,0,
340,3.35,"6,968.00",3,0,0,12,7,25,1,1,3,0,
341,10.62,"22,089.60",3,1,0,12,45,63,1,0,3,0,
342,8.00,"16,640.00",3,0,0,12,9,27,1,0,3,0,
343,4.75,"9,880.00",3,0,0,12,2,20,1,1,3,1,
344,8.50,"17,680.00",3,0,0,17,3,26,0,0,3,1,
345,8.85,"18,408.00",3,0,1,14,19,39,1,1,1,0,
346,8.00,"16,640.00",3,0,0,12,14,32,1,1,3,1,
347,6.00,"12,480.00",4,0,0,4,54,64,0,1,3,0,
348,7.14,"14,851.20",4,0,0,14,17,37,0,1,3,0,
349,3.40,"7,072.00",4,0,0,8,29,43,1,1,1,0,
350,6.00,"12,480.00",4,0,0,15,26,47,1,0,3,1,
351,3.75,"7,800.00",4,0,0,2,16,24,0,0,2,0,
352,8.89,"18,491.20",4,0,0,8,29,43,1,0,1,0,
353,4.35,"9,048.00",4,0,0,11,20,37,1,1,3,0,
354,13.10,"27,248.00",4,0,0,10,38,54,1,1,1,1,
355,4.35,"9,048.00",4,0,0,8,37,51,1,1,1,1,
356,3.50,"7,280.00",4,0,0,9,48,63,0,0,3,0,
357,3.80,"7,904.00",4,0,0,12,16,34,1,0,3,0,
358,5.26,"10,940.80",4,0,0,8,38,52,1,1,3,0,
359,3.35,"6,968.00",4,0,0,14,0,20,0,0,1,0,
360,16.26,"33,820.80",4,0,1,12,14,32,0,0,1,0,
361,4.25,"8,840.00",4,0,0,12,2,20,1,1,3,0,
362,4.50,"9,360.00",4,0,0,16,21,43,0,1,3,0,
363,8.00,"16,640.00",4,0,0,13,15,34,1,1,3,0,
364,4.00,"8,320.00",4,0,0,16,20,42,1,0,3,0,
365,7.96,"16,556.80",4,0,0,14,12,32,1,1,3,0,
366,4.00,"8,320.00",4,0,0,12,7,25,0,0,2,1,
367,4.15,"8,632.00",4,0,0,11,4,21,0,1,3,0,
368,5.95,"12,376.00",4,0,0,13,9,28,0,1,3,1,
369,3.60,"7,488.00",4,0,0,12,43,61,1,1,2,1,
370,8.75,"18,200.00",4,0,0,10,19,35,0,0,3,1,
371,3.40,"7,072.00",4,0,0,8,49,63,1,0,3,0,
372,4.28,"8,902.40",4,0,0,12,38,56,1,1,3,0,
373,5.35,"11,128.00",4,0,0,12,13,31,1,1,3,0,
374,5.00,"10,400.00",4,0,0,12,14,32,1,1,3,0,
375,7.65,"15,912.00",4,0,0,12,20,38,0,0,3,0,
376,6.94,"14,435.20",4,0,0,12,7,25,1,0,3,0,
377,7.50,"15,600.00",4,1,1,12,9,27,1,1,3,0,
378,3.60,"7,488.00",4,0,0,12,6,24,1,0,3,0,
379,1.75,"3,640.00",4,0,0,12,5,23,1,1,3,1,
380,3.45,"7,176.00",4,0,0,13,1,20,1,0,1,1,
381,9.63,"20,030.40",4,0,1,14,22,42,0,1,3,0,
382,8.49,"17,659.20",4,0,0,12,24,42,1,1,3,0,
383,8.99,"18,699.20",4,0,1,12,15,33,1,0,3,0,
384,3.65,"7,592.00",4,0,0,11,8,25,1,1,3,1,
385,3.50,"7,280.00",4,0,0,11,17,34,1,1,3,1,
386,3.43,"7,134.40",4,0,0,12,2,20,0,0,1,1,
387,5.50,"11,440.00",4,0,0,12,20,38,0,1,3,1,
388,6.93,"14,414.40",4,0,1,12,26,44,0,1,3,0,
389,3.51,"7,300.80",4,0,0,10,37,53,1,1,1,1,
390,3.75,"7,800.00",4,0,0,12,41,59,1,0,3,0,
391,4.17,"8,673.60",4,0,0,12,27,45,1,1,3,0,
392,9.57,"19,905.60",4,0,1,12,5,23,1,1,3,0,
393,14.67,"30,513.60",4,0,0,14,16,36,0,1,1,0,
394,12.50,"26,000.00",4,0,0,14,19,39,1,1,3,0,
395,5.50,"11,440.00",4,0,0,12,10,28,0,1,3,0,
396,5.15,"10,712.00",4,0,1,13,1,20,0,0,3,1,
397,8.00,"16,640.00",4,0,1,12,43,61,1,1,1,0,
398,5.83,"12,126.40",4,0,0,13,3,22,0,0,1,0,
399,3.35,"6,968.00",4,0,0,12,0,18,1,0,3,0,
400,7.00,"14,560.00",4,0,0,12,26,44,1,1,3,1,
